code,name
ap-south-1,Asia Pacific (Mumbai)
eu-north-1,EU (Stockholm)
eu-west-3,EU (Paris)
eu-west-2,EU (London)
eu-west-1,EU (Ireland)
ap-northeast-2,Asia Pacific (Seoul)
me-south-1,Middle East (Bahrain)
ap-northeast-1,Asia Pacific (Tokyo)
us-gov-east-1,AWS GovCloud (US-East)
ca-central-1,Canada (Central)
sa-east-1,South America (Sao Paulo)
ap-east-1,Asia Pacific (Hong Kong)
cn-north-1,China (Beijing)
us-gov-west-1,AWS GovCloud (US)
ap-southeast-1,Asia Pacific (Singapore)
ap-southeast-2,Asia Pacific (Sydney)
eu-central-1,EU (Frankfurt)
us-east-1,US East (N. Virginia)
us-east-2,US East (Ohio)
cn-northwest-1,China (Ningxia)
us-west-1,US West (N. California)
us-west-2,US West (Oregon)
