code,name
usgovtexas,US Gov Texas
francecentral,France Central
northeurope,North Europe
australiaeast,Australia East
australiasoutheast,Australia Southeast
ukwest,UK West
usgoviowa,US Gov Iowa
southeastasia,South East Asia
chinanorth,China North
westeurope,West Europe
chinaeast,China East
eastus2,East US 2
southindia,South India
germanycentral,Germany Central
japanwest,Japan West
westus,West US
southcentralus,South Central US
koreacentral,Korea Central
usdodcentral,US DoD Central
usgovvirginia,US Gov Virginia
chinaeast2,China East 2
brazilsouth,Brazil South
australiacentral2,Australia Central 2
australiacentral,Australia Central
usgovarizona,US Gov Arizona
centralindia,Central India
japaneast,Japan East
eastasia,East Asia
westcentralus,West Central US
westindia,West India
germanynortheast,Germany Northeast
koreasouth,Korea South
usdodeast,US DoD East
uksouth,UK South
canadacentral,Canada Central
westus2,West US 2
centralus,Central US
canadaeast,Canada East
chinanorth2,China North 2
francesouth,France South
eastus,East US
northcentralus,North Central US
