|  PUT  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/conversions/(conversion)  |   conversion (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/conversions/(conversion)  |    |   conversion (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/conversions/(conversion)//tasks/(id)  |    |   task (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/conversions/(conversion)//tasks  |    |   tasks (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/conversions  |    |   conversions (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/conversions  |    |   conversions (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/config/runlist  |    |   application/xmlapplication/xml application/jsonapplication/json localrunlistelements (*b)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/config/runlist  |   runlistelements (*b)  (*r)  extended (*b)  (*r)   |   runlistelements (*b)  (*r)  extended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/config/runlist  |    |   runlistelements (*b)  (*r)  extended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/firewalls  |    |   links (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/firewalls  |   links (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/metadata  |   metadata (*b)  (*r)   |   metadata (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/metadata  |    |    |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/metadata  |    |   metadata (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/network/configurations  |    |   virtualmachinenetworkconfigurations (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/network/configurations/(configuration)  |    |   virtualmachinenetworkconfiguration (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/network/nics  |    |   nics (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/network/nics  |    |   nics (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |    |   volumes (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |   links (*b)   |   acceptedrequest (*b)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |   links (*b)   |   acceptedrequest (*b)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |   links (*b)   |   acceptedrequest (*b)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |   links (*b)   |   acceptedrequest (*b)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |    |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes  |    |   volumes (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |    |   harddisks (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |   links (*b)   |   acceptedrequest (*b)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |   links (*b)   |   acceptedrequest (*b)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |   links (*b)   |   acceptedrequest (*b)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |   links (*b)   |   acceptedrequest (*b)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |    |   acceptedrequest (*b)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks  |    |   acceptedrequest (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks/(disk)  |    |   harddisk (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/disks/(disk)  |    |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes/(volume)  |    |   volume (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/storage/volumes/(volume)  |    |   acceptedrequest (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)  |    |   virtualmachinetemplate (*b)  (*r)   |
|  PUT  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)  |   virtualmachinetemplate (*b)  (*r)   |   virtualmachinetemplate (*b)  (*r)   |
|  DELETE  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)  |    |    |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)//tasks/(id)  |    |   taskextended (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)//tasks/(id)  |    |   task (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/action/instances  |    |   virtualmachinetemplates (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)//tasks  |    |   tasks (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/action/deletefile  |    |    |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates/(virtualmachinetemplate)/action/virtualmachines  |    |   virtualmachines (*b)  (*r)   |
|  GET  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates  |    |   virtualmachinetemplates (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates  |   virtualmachinetemplate (*b)  (*r)   |   virtualmachinetemplate (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates  |   virtualmachinetemplatepersistent (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates  |   virtualmachinetemplaterequest (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/datacenterrepositories/(datacenterrepository)/virtualmachinetemplates  |   templatedefinition (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachine (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |    |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachineflat (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachine (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachine (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnode (*b)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |    |   virtualmachinewithnodeextended (*b)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachine (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachine (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachine (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnode (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnode (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnode (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnode (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnodeextended (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnodeextended (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnodeextended (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)  |   virtualmachinewithnodeextended (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/state  |   virtualmachinestate (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/state  |    |   virtualmachinestate (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/action/undeploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)/action/instance  |   virtualmachineinstance (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/virtualappliances/(virtualappliance)/virtualmachines/(virtualmachine)//tasks/(id)/action/continue  |    |    |
