|  PUT  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/conversions/(conversion)  |   conversion (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/conversions/(conversion)  |    |   conversion (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/conversions/(conversion)//tasks/(id)  |    |   task (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/conversions/(conversion)//tasks  |    |   tasks (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/conversions  |    |   conversions (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/conversions  |    |   conversions (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/config/runlist  |    |   application/xmlapplication/xml application/jsonapplication/json localrunlistelements (*b)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/config/runlist  |   runlistelements (*b)  (*r)  extended (*b)  (*r)   |   runlistelements (*b)  (*r)  extended (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/config/runlist  |    |   runlistelements (*b)  (*r)  extended (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/firewalls  |    |   links (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/firewalls  |   links (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/metadata  |   metadata (*b)  (*r)   |   metadata (*b)  (*r)   |
|  DELETE  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/metadata  |    |    |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/metadata  |    |   metadata (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/nw/configs  |    |   virtualmachinenetworkconfigurations (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/nw/configs/(config)  |    |   virtualmachinenetworkconfiguration (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/nw/nics  |    |   nics (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/nw/nics  |    |   nics (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/storage/volumes  |    |   volumes (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/storage/volumes  |   links (*b)   |   acceptedrequest (*b)   |
